TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2023-02-16,00:00,00:29,0.12,kWh,$0.02,
Electric usage,2023-02-16,00:30,00:59,0.06,kWh,$0.01,
Electric usage,2023-02-16,01:00,01:29,0.10,kWh,$0.01,
Electric usage,2023-02-16,01:30,01:59,0.08,kWh,$0.01,
Electric usage,2023-02-16,02:00,02:29,0.08,kWh,$0.01,
Electric usage,2023-02-16,02:30,02:59,0.10,kWh,$0.01,
Electric usage,2023-02-16,03:00,03:29,0.06,kWh,$0.01,
Electric usage,2023-02-16,03:30,03:59,0.12,kWh,$0.02,
Electric usage,2023-02-16,04:00,04:29,0.05,kWh,$0.01,
Electric usage,2023-02-16,04:30,04:59,0.72,kWh,$0.09,
Electric usage,2023-02-16,05:00,05:29,0.57,kWh,$0.07,
Electric usage,2023-02-16,05:30,05:59,0.71,kWh,$0.09,
Electric usage,2023-02-16,06:00,06:29,0.28,kWh,$0.04,
Electric usage,2023-02-16,06:30,06:59,0.53,kWh,$0.07,
Electric usage,2023-02-16,07:00,07:29,5.48,kWh,$0.69,
Electric usage,2023-02-16,07:30,07:59,4.87,kWh,$0.62,
Electric usage,2023-02-16,08:00,08:29,4.06,kWh,$0.51,
Electric usage,2023-02-16,08:30,08:59,2.87,kWh,$0.36,
Electric usage,2023-02-16,09:00,09:29,2.92,kWh,$0.37,
Electric usage,2023-02-16,09:30,09:59,2.92,kWh,$0.37,
Electric usage,2023-02-16,10:00,10:29,3.24,kWh,$0.41,
Electric usage,2023-02-16,10:30,10:59,2.98,kWh,$0.38,
Electric usage,2023-02-16,11:00,11:29,3.99,kWh,$0.51,
Electric usage,2023-02-16,11:30,11:59,2.71,kWh,$0.34,
Electric usage,2023-02-16,12:00,12:29,3.19,kWh,$0.40,
Electric usage,2023-02-16,12:30,12:59,2.85,kWh,$0.36,
Electric usage,2023-02-16,13:00,13:29,1.68,kWh,$0.21,
Electric usage,2023-02-16,13:30,13:59,2.71,kWh,$0.34,
Electric usage,2023-02-16,14:00,14:29,2.92,kWh,$0.37,
Electric usage,2023-02-16,14:30,14:59,2.95,kWh,$0.37,
Electric usage,2023-02-16,15:00,15:29,3.14,kWh,$0.40,
Electric usage,2023-02-16,15:30,15:59,2.36,kWh,$0.30,
Electric usage,2023-02-16,16:00,16:29,2.37,kWh,$0.30,
Electric usage,2023-02-16,16:30,16:59,3.11,kWh,$0.39,
Electric usage,2023-02-16,17:00,17:29,0.86,kWh,$0.11,
Electric usage,2023-02-16,17:30,17:59,2.25,kWh,$0.29,
Electric usage,2023-02-16,18:00,18:29,1.88,kWh,$0.24,
Electric usage,2023-02-16,18:30,18:59,6.29,kWh,$0.80,
Electric usage,2023-02-16,19:00,19:29,4.83,kWh,$0.61,
Electric usage,2023-02-16,19:30,19:59,3.68,kWh,$0.47,
Electric usage,2023-02-16,20:00,20:29,3.37,kWh,$0.43,
Electric usage,2023-02-16,20:30,20:59,0.65,kWh,$0.08,
Electric usage,2023-02-16,21:00,21:29,0.38,kWh,$0.05,
Electric usage,2023-02-16,21:30,21:59,0.14,kWh,$0.02,
Electric usage,2023-02-16,22:00,22:29,0.10,kWh,$0.01,
Electric usage,2023-02-16,22:30,22:59,0.12,kWh,$0.02,
Electric usage,2023-02-16,23:00,23:29,0.05,kWh,$0.01,
Electric usage,2023-02-16,23:30,23:59,0.14,kWh,$0.02,
Electric usage,2023-02-17,00:00,00:29,0.06,kWh,$0.01,
Electric usage,2023-02-17,00:30,00:59,0.10,kWh,$0.01,
Electric usage,2023-02-17,01:00,01:29,0.09,kWh,$0.01,
Electric usage,2023-02-17,01:30,01:59,0.07,kWh,$0.01,
Electric usage,2023-02-17,02:00,02:29,0.14,kWh,$0.02,
Electric usage,2023-02-17,02:30,02:59,0.13,kWh,$0.02,
Electric usage,2023-02-17,03:00,03:29,0.14,kWh,$0.02,
Electric usage,2023-02-17,03:30,03:59,0.05,kWh,$0.01,
Electric usage,2023-02-17,04:00,04:29,0.12,kWh,$0.01,
Electric usage,2023-02-17,04:30,04:59,0.07,kWh,$0.01,
Electric usage,2023-02-17,05:00,05:29,0.09,kWh,$0.01,
Electric usage,2023-02-17,05:30,05:59,0.10,kWh,$0.01,
Electric usage,2023-02-17,06:00,06:29,0.07,kWh,$0.01,
Electric usage,2023-02-17,06:30,06:59,0.11,kWh,$0.01,
Electric usage,2023-02-17,07:00,07:29,7.87,kWh,$1.00,
Electric usage,2023-02-17,07:30,07:59,6.57,kWh,$0.83,
Electric usage,2023-02-17,08:00,08:29,4.62,kWh,$0.59,
Electric usage,2023-02-17,08:30,08:59,4.93,kWh,$0.62,
Electric usage,2023-02-17,09:00,09:29,3.99,kWh,$0.51,
Electric usage,2023-02-17,09:30,09:59,4.07,kWh,$0.52,
Electric usage,2023-02-17,10:00,10:29,4.78,kWh,$0.60,
Electric usage,2023-02-17,10:30,10:59,3.62,kWh,$0.46,
Electric usage,2023-02-17,11:00,11:29,3.11,kWh,$0.39,
Electric usage,2023-02-17,11:30,11:59,3.06,kWh,$0.39,
Electric usage,2023-02-17,12:00,12:29,3.29,kWh,$0.42,
Electric usage,2023-02-17,12:30,12:59,4.04,kWh,$0.51,
Electric usage,2023-02-17,13:00,13:29,3.15,kWh,$0.40,
Electric usage,2023-02-17,13:30,13:59,3.28,kWh,$0.42,
Electric usage,2023-02-17,14:00,14:29,4.56,kWh,$0.58,
Electric usage,2023-02-17,14:30,14:59,3.49,kWh,$0.44,
Electric usage,2023-02-17,15:00,15:29,3.51,kWh,$0.44,
Electric usage,2023-02-17,15:30,15:59,3.61,kWh,$0.46,
Electric usage,2023-02-17,16:00,16:29,3.33,kWh,$0.42,
Electric usage,2023-02-17,16:30,16:59,3.00,kWh,$0.38,
Electric usage,2023-02-17,17:00,17:29,1.90,kWh,$0.24,
Electric usage,2023-02-17,17:30,17:59,3.82,kWh,$0.48,
Electric usage,2023-02-17,18:00,18:29,3.79,kWh,$0.48,
Electric usage,2023-02-17,18:30,18:59,3.23,kWh,$0.41,
Electric usage,2023-02-17,19:00,19:29,3.07,kWh,$0.39,
Electric usage,2023-02-17,19:30,19:59,2.89,kWh,$0.37,
Electric usage,2023-02-17,20:00,20:29,2.60,kWh,$0.33,
Electric usage,2023-02-17,20:30,20:59,2.85,kWh,$0.36,
Electric usage,2023-02-17,21:00,21:29,0.77,kWh,$0.10,
Electric usage,2023-02-17,21:30,21:59,0.63,kWh,$0.08,
Electric usage,2023-02-17,22:00,22:29,0.44,kWh,$0.06,
Electric usage,2023-02-17,22:30,22:59,0.45,kWh,$0.06,
Electric usage,2023-02-17,23:00,23:29,0.36,kWh,$0.05,
Electric usage,2023-02-17,23:30,23:59,0.17,kWh,$0.02,
Electric usage,2023-02-18,00:00,00:29,0.07,kWh,$0.01,
Electric usage,2023-02-18,00:30,00:59,0.11,kWh,$0.01,
Electric usage,2023-02-18,01:00,01:29,0.05,kWh,$0.01,
Electric usage,2023-02-18,01:30,01:59,0.13,kWh,$0.02,
Electric usage,2023-02-18,02:00,02:29,0.05,kWh,$0.01,
Electric usage,2023-02-18,02:30,02:59,0.12,kWh,$0.02,
Electric usage,2023-02-18,03:00,03:29,0.06,kWh,$0.01,
Electric usage,2023-02-18,03:30,03:59,0.10,kWh,$0.01,
Electric usage,2023-02-18,04:00,04:29,0.07,kWh,$0.01,
Electric usage,2023-02-18,04:30,04:59,0.09,kWh,$0.01,
Electric usage,2023-02-18,05:00,05:29,0.09,kWh,$0.01,
Electric usage,2023-02-18,05:30,05:59,0.07,kWh,$0.01,
Electric usage,2023-02-18,06:00,06:29,0.10,kWh,$0.01,
Electric usage,2023-02-18,06:30,06:59,0.08,kWh,$0.01,
Electric usage,2023-02-18,07:00,07:29,3.93,kWh,$0.50,
Electric usage,2023-02-18,07:30,07:59,7.94,kWh,$1.01,
Electric usage,2023-02-18,08:00,08:29,5.61,kWh,$0.71,
Electric usage,2023-02-18,08:30,08:59,5.50,kWh,$0.70,
Electric usage,2023-02-18,09:00,09:29,4.17,kWh,$0.53,
Electric usage,2023-02-18,09:30,09:59,3.48,kWh,$0.44,
Electric usage,2023-02-18,10:00,10:29,3.76,kWh,$0.48,
Electric usage,2023-02-18,10:30,10:59,3.67,kWh,$0.47,
Electric usage,2023-02-18,11:00,11:29,4.35,kWh,$0.55,
Electric usage,2023-02-18,11:30,11:59,3.32,kWh,$0.42,
Electric usage,2023-02-18,12:00,12:29,3.58,kWh,$0.45,
Electric usage,2023-02-18,12:30,12:59,3.09,kWh,$0.39,
Electric usage,2023-02-18,13:00,13:29,2.32,kWh,$0.29,
Electric usage,2023-02-18,13:30,13:59,3.64,kWh,$0.46,
Electric usage,2023-02-18,14:00,14:29,3.21,kWh,$0.41,
Electric usage,2023-02-18,14:30,14:59,3.17,kWh,$0.40,
Electric usage,2023-02-18,15:00,15:29,3.13,kWh,$0.40,
Electric usage,2023-02-18,15:30,15:59,1.80,kWh,$0.23,
Electric usage,2023-02-18,16:00,16:29,2.90,kWh,$0.37,
Electric usage,2023-02-18,16:30,16:59,2.49,kWh,$0.32,
Electric usage,2023-02-18,17:00,17:29,2.87,kWh,$0.36,
Electric usage,2023-02-18,17:30,17:59,3.10,kWh,$0.39,
Electric usage,2023-02-18,18:00,18:29,2.50,kWh,$0.32,
Electric usage,2023-02-18,18:30,18:59,0.98,kWh,$0.12,
Electric usage,2023-02-18,19:00,19:29,2.71,kWh,$0.34,
Electric usage,2023-02-18,19:30,19:59,2.63,kWh,$0.33,
Electric usage,2023-02-18,20:00,20:29,2.69,kWh,$0.34,
Electric usage,2023-02-18,20:30,20:59,2.65,kWh,$0.34,
Electric usage,2023-02-18,21:00,21:29,0.15,kWh,$0.02,
Electric usage,2023-02-18,21:30,21:59,0.21,kWh,$0.03,
Electric usage,2023-02-18,22:00,22:29,0.19,kWh,$0.02,
Electric usage,2023-02-18,22:30,22:59,0.12,kWh,$0.01,
Electric usage,2023-02-18,23:00,23:29,0.10,kWh,$0.01,
Electric usage,2023-02-18,23:30,23:59,0.06,kWh,$0.01,
Electric usage,2023-02-19,00:00,00:29,0.13,kWh,$0.02,
Electric usage,2023-02-19,00:30,00:59,0.05,kWh,$0.01,
Electric usage,2023-02-19,01:00,01:29,0.12,kWh,$0.01,
Electric usage,2023-02-19,01:30,01:59,0.07,kWh,$0.01,
Electric usage,2023-02-19,02:00,02:29,0.10,kWh,$0.01,
Electric usage,2023-02-19,02:30,02:59,0.09,kWh,$0.01,
Electric usage,2023-02-19,03:00,03:29,0.08,kWh,$0.01,
Electric usage,2023-02-19,03:30,03:59,0.15,kWh,$0.02,
Electric usage,2023-02-19,04:00,04:29,0.13,kWh,$0.02,
Electric usage,2023-02-19,04:30,04:59,0.14,kWh,$0.02,
Electric usage,2023-02-19,05:00,05:29,0.05,kWh,$0.01,
Electric usage,2023-02-19,05:30,05:59,0.12,kWh,$0.02,
Electric usage,2023-02-19,06:00,06:29,0.07,kWh,$0.01,
Electric usage,2023-02-19,06:30,06:59,0.09,kWh,$0.01,
Electric usage,2023-02-19,07:00,07:29,3.77,kWh,$0.48,
Electric usage,2023-02-19,07:30,07:59,6.21,kWh,$0.79,
Electric usage,2023-02-19,08:00,08:29,4.51,kWh,$0.57,
Electric usage,2023-02-19,08:30,08:59,4.37,kWh,$0.55,
Electric usage,2023-02-19,09:00,09:29,3.90,kWh,$0.49,
Electric usage,2023-02-19,09:30,09:59,3.19,kWh,$0.40,
Electric usage,2023-02-19,10:00,10:29,2.78,kWh,$0.35,
Electric usage,2023-02-19,10:30,10:59,2.59,kWh,$0.33,
Electric usage,2023-02-19,11:00,11:29,2.41,kWh,$0.31,
Electric usage,2023-02-19,11:30,11:59,2.88,kWh,$0.36,
